Image Name\\\\\\\\\\\\,Path,Label,Source,CompositeName,Dataset
Training_51753033.jpg,data\dataSources\fer2013\happy\Training_51753033.jpg,happy,FER2013,Training_51753033_happy_FER2013,Train
Training_66528800.jpg,data\dataSources\fer2013\happy\Training_66528800.j,happy,FER2013,Training_66528800_happy_FER2013,Train
Training_23781912.jpg,,angry,FER2013,Training_23781912_angry_FER2013,Train
Training_26643952.jpg,data\dataSources\fer2013\happy\Training_26643952.jpg,happy,FER2013,Training_26643952_happy_FER2013,Train
Training_42305373.jpg,data\dataSources\fer2013\happy\Training_42305373.jpg,happy,FER2013,Training_42305373_happy_FER2013\\\\\\,Train
Training_71440017.jpg,data\dataSources\fer2013\happy\Training_71440017.jpg,happy,FER2013,Training_71440017_happy_FER2013,Train
Training_88661566.jpg,data\dataSources\fer2013\happy\Training_88661566.jpg,happy,FER2013,Training_88661566_happy_FER2013,Train
Training_83049202.jpg,data\dataSources\fer2013\happy\Training_83049202.jpg,happy,FER2013,Training_83049202_happy_FER2013,Train
Training_17552982.jpg,data\dataSources\fer2013\neutral\Training_17552982.jpg,neutral,FER2013,Training_17552982_neutral_FER2013,Train
Training_3396787.jpg,data\dataSources\fer2013\neutral\Training_3396787.jpg,neutral,FER2013,Training_3396787_neutral_FER2013,Train
Training_18373374.jpg,data\dataSources\fer2013\happy\Training_18373374.jpg,happy,FER2013,Training_18373374_happy_FER2013,Train
PrivateTest_36816441.jpg,data\dataSources\fer2013\happy\PrivateTest_36816441.jpg,happy,FER2013,PrivateTest_36816441_happy_FER2013,Train
Training_23944618.jpg,data\dataSources\fer2013\angry\Training_23944618.jpg,angry,FER2013,Training_23944618_angry_FER2013,Train
PublicTest_3620949.jpg,data\dataSources\fer2013\angry\PublicTest_3620949.jpg,angry,FER2013,PublicTest_3620949_angry_FER2013,Train
Training_5023997.jpg,data\dataSources\fer2013\happy\Training_5023997.jpg,happy,FER2013,Training_5023997_happy_FER2013,Train
PublicTest_80609952.jpg,data\dataSources\fer2013\happy\PublicTest_80609952.jpg,happy,FER2013,PublicTest_80609952_happy_FER2013,Train
PublicTest_71123225.jpg,data\dataSources\fer2013\angry\PublicTest_71123225.jpg,angry,FER2013,PublicTest_71123225_angry_FER2013,Train
Training_38113075.jpg,data\dataSources\fer2013\neutral\Training_38113075.jpg,neutral,FER2013,Training_38113075_neutral_FER2013,Train
Training_59657547.jpg,data\dataSources\fer2013\angry\Training_59657547.jpg,angry,FER2013,Training_59657547_angry_FER2013,Train
PublicTest_56793753.jpg,data\dataSources\fer2013\happy\PublicTest_56793753.jpg,happy,FER2013,PublicTest_56793753_happy_FER2013,Train
Training_33339556.jpg,data\dataSources\fer2013\happy\Training_33339556.jpg,happy,FER2013,Training_33339556_happy_FER2013,Train
Training_20595068.jpg,data\dataSources\fer2013\neutral\Training_20595068.jpg,neutral,FER2013,Training_20595068_neutral_FER2013,Train
PrivateTest_36282299.jpg,data\dataSources\fer2013\happy\PrivateTest_36282299.jpg,happy,FER2013,PrivateTest_36282299_happy_FER2013,Train
Training_25739285.jpg,data\dataSources\fer2013\angry\Training_25739285.jpg,angry,FER2013,Training_25739285_angry_FER2013,Train
Training_58218094.jpg,data\dataSources\fer2013\happy\Training_58218094.jpg,happy,FER2013,Training_58218094_happy_FER2013,Train
Training_93614329.jpg,data\dataSources\fer2013\angry\Training_93614329.jpg,angry,FER2013,Training_93614329_angry_FER2013,Train
Training_53291969.jpg,data\dataSources\fer2013\happy\Training_53291969.jpg,happy,FER2013,Training_53291969_happy_FER2013,Train
Training_90181551.jpg,data\dataSources\fer2013\happy\Training_90181551.jpg,happy,FER2013,Training_90181551_happy_FER2013,Train
Training_27814993.jpg,data\dataSources\fer2013\happy\Training_27814993.jpg,happy,FER2013,Training_27814993_happy_FER2013,Train
Training_68989223.jpg,data\dataSources\fer2013\happy\Training_68989223.jpg,happy,FER2013,Training_68989223_happy_FER2013,Train
Training_45601226.jpg,data\dataSources\fer2013\happy\Training_45601226.jpg,happy,FER2013,Training_45601226_happy_FER2013,Train
PublicTest_62277373.jpg,data\dataSources\fer2013\angry\PublicTest_62277373.jpg,angry,FER2013,PublicTest_62277373_angry_FER2013,Train
AF18NEHR.JPG,data\dataSources\kdef\engaged\AF18NEHR.JPG,engaged,KDEF,AF18NEHR_engaged_KDEF,Train
Training_17363681.jpg,data\dataSources\fer2013\angry\Training_17363681.jpg,angry,FER2013,Training_17363681_angry_FER2013,Train
PrivateTest_76832798.jpg,data\dataSources\fer2013\angry\PrivateTest_76832798.jpg,angry,FER2013,PrivateTest_76832798_angry_FER2013,Train
Training_29671653.jpg,data\dataSources\fer2013\angry\Training_29671653.jpg,angry,FER2013,Training_29671653_angry_FER2013,Train
Training_39110402.jpg,data\dataSources\fer2013\happy\Training_39110402.jpg,happy,FER2013,Training_39110402_happy_FER2013,Train
Training_10599535.jpg,data\dataSources\fer2013\happy\Training_10599535.jpg,happy,FER2013,Training_10599535_happy_FER2013,Train
Training_32014338.jpg,data\dataSources\fer2013\angry\Training_32014338.jpg,angry,FER2013,Training_32014338_angry_FER2013,Train
Training_49832352.jpg,data\dataSources\fer2013\happy\Training_49832352.jpg,happy,FER2013,Training_49832352_happy_FER2013,Train
Training_31543797.jpg,data\dataSources\fer2013\happy\Training_31543797.jpg,happy,FER2013,Training_31543797_happy_FER2013,Train
Training_50512574.jpg,data\dataSources\fer2013\happy\Training_50512574.jpg,happy,FER2013,Training_50512574_happy_FER2013,Train
