Image Name,Path,Label,Source,CompositeName
Training_50404829.jpg,PART_1/data/cleanedData\test\happy\Training_50404829.jpg,happy,FER2013,Training_50404829_happy_FER2013
Training_42722018.jpg,PART_1/data/cleanedData\test\happy\Training_42722018.jpg,happy,FER2013,Training_42722018_happy_FER2013
Training_42392513.jpg,PART_1/data/cleanedData\test\happy\Training_42392513.jpg,happy,FER2013,Training_42392513_happy_FER2013
Training_55718843.jpg,PART_1/data/cleanedData\test\happy\Training_55718843.jpg,happy,FER2013,Training_55718843_happy_FER2013
Training_74021988.jpg,PART_1/data/cleanedData\test\happy\Training_74021988.jpg,happy,FER2013,Training_74021988_happy_FER2013
PublicTest_27142487.jpg,PART_1/data/cleanedData\test\happy\PublicTest_27142487.jpg,happy,FER2013,PublicTest_27142487_happy_FER2013
Training_74922716.jpg,PART_1/data/cleanedData\test\happy\Training_74922716.jpg,happy,FER2013,Training_74922716_happy_FER2013
Training_55375554.jpg,PART_1/data/cleanedData\test\happy\Training_55375554.jpg,happy,FER2013,Training_55375554_happy_FER2013
Training_88187627.jpg,PART_1/data/cleanedData\test\happy\Training_88187627.jpg,happy,FER2013,Training_88187627_happy_FER2013
Training_17900783.jpg,PART_1/data/cleanedData\test\happy\Training_17900783.jpg,happy,FER2013,Training_17900783_happy_FER2013
Training_82240410.jpg,PART_1/data/cleanedData\test\happy\Training_82240410.jpg,happy,FER2013,Training_82240410_happy_FER2013
Training_95023380.jpg,PART_1/data/cleanedData\test\happy\Training_95023380.jpg,happy,FER2013,Training_95023380_happy_FER2013
Training_48971348.jpg,PART_1/data/cleanedData\test\happy\Training_48971348.jpg,happy,FER2013,Training_48971348_happy_FER2013
PrivateTest_33607564.jpg,PART_1/data/cleanedData\test\happy\PrivateTest_33607564.jpg,happy,FER2013,PrivateTest_33607564_happy_FER2013
Training_90045194.jpg,PART_1/data/cleanedData\test\happy\Training_90045194.jpg,happy,FER2013,Training_90045194_happy_FER2013
Training_5866908.jpg,PART_1/data/cleanedData\test\happy\Training_5866908.jpg,happy,FER2013,Training_5866908_happy_FER2013
Training_33229629.jpg,PART_1/data/cleanedData\test\happy\Training_33229629.jpg,happy,FER2013,Training_33229629_happy_FER2013
PublicTest_4325988.jpg,PART_1/data/cleanedData\test\happy\PublicTest_4325988.jpg,happy,FER2013,PublicTest_4325988_happy_FER2013
PublicTest_15518721.jpg,PART_1/data/cleanedData\test\happy\PublicTest_15518721.jpg,happy,FER2013,PublicTest_15518721_happy_FER2013
Training_59138520.jpg,PART_1/data/cleanedData\test\happy\Training_59138520.jpg,happy,FER2013,Training_59138520_happy_FER2013
PrivateTest_27430217.jpg,PART_1/data/cleanedData\test\happy\PrivateTest_27430217.jpg,happy,FER2013,PrivateTest_27430217_happy_FER2013
Training_32370668.jpg,PART_1/data/cleanedData\test\happy\Training_32370668.jpg,happy,FER2013,Training_32370668_happy_FER2013
PrivateTest_57547658.jpg,PART_1/data/cleanedData\test\happy\PrivateTest_57547658.jpg,happy,FER2013,PrivateTest_57547658_happy_FER2013
Training_39084146.jpg,PART_1/data/cleanedData\test\happy\Training_39084146.jpg,happy,FER2013,Training_39084146_happy_FER2013
Training_18535227.jpg,PART_1/data/cleanedData\test\happy\Training_18535227.jpg,happy,FER2013,Training_18535227_happy_FER2013
Training_7133978.jpg,PART_1/data/cleanedData\test\happy\Training_7133978.jpg,happy,FER2013,Training_7133978_happy_FER2013
PublicTest_40838607.jpg,PART_1/data/cleanedData\test\happy\PublicTest_40838607.jpg,happy,FER2013,PublicTest_40838607_happy_FER2013
