Image Path,Correct Label,Predicted Label
image_0,0,happy
image_1,0,happy
image_2,0,happy
image_3,2,angry
image_4,2,neutral
image_5,1,engaged
image_6,1,happy
image_7,2,neutral
image_8,2,neutral
image_9,0,happy
image_10,2,neutral
image_11,2,neutral
image_12,0,happy
image_13,1,angry
image_14,1,happy
image_15,0,happy
image_16,1,neutral
image_17,2,neutral
image_18,1,angry
image_19,1,angry
image_20,0,happy
image_21,0,happy
image_22,2,neutral
image_23,1,neutral
image_24,0,happy
image_25,2,happy
image_26,0,happy
image_27,0,happy
image_28,2,neutral
image_29,1,angry
image_30,0,angry
image_31,0,happy
image_32,0,happy
image_33,0,happy
image_34,2,neutral
image_35,0,happy
image_36,1,angry
image_37,0,angry
image_38,0,happy
image_39,3,engaged
image_40,0,happy
image_41,1,neutral
image_42,1,neutral
image_43,0,happy
image_44,0,happy
image_45,2,neutral
image_46,0,happy
image_47,0,happy
image_48,0,happy
image_49,2,neutral
image_50,1,neutral
image_51,0,happy
image_52,0,happy
image_53,2,happy
image_54,2,angry
image_55,2,neutral
image_56,0,happy
image_57,0,happy
image_58,0,happy
image_59,2,neutral
image_60,1,angry
image_61,0,happy
image_62,0,angry
image_63,0,happy
image_64,2,happy
image_65,2,angry
image_66,0,happy
image_67,0,happy
image_68,2,happy
image_69,2,neutral
image_70,3,engaged
image_71,1,neutral
image_72,2,neutral
image_73,0,happy
image_74,1,angry
image_75,1,angry
image_76,1,angry
image_77,2,neutral
image_78,2,neutral
image_79,1,angry
image_80,0,happy
image_81,2,happy
image_82,1,angry
image_83,2,neutral
image_84,0,angry
image_85,2,neutral
image_86,0,happy
image_87,2,neutral
image_88,2,neutral
image_89,1,angry
image_90,2,neutral
image_91,2,angry
image_92,3,engaged
image_93,1,angry
image_94,0,happy
image_95,0,happy
image_96,1,angry
image_97,2,neutral
image_98,1,neutral
image_99,0,happy
image_100,0,happy
image_101,1,neutral
image_102,1,neutral
image_103,2,angry
image_104,2,neutral
image_105,0,neutral
image_106,2,neutral
image_107,0,happy
image_108,1,neutral
image_109,1,angry
image_110,2,angry
image_111,2,happy
image_112,1,angry
image_113,2,neutral
image_114,1,angry
image_115,0,happy
image_116,2,happy
image_117,0,happy
image_118,2,happy
image_119,0,happy
image_120,2,neutral
image_121,1,angry
image_122,0,happy
image_123,0,happy
image_124,2,neutral
image_125,3,engaged
image_126,1,angry
image_127,2,neutral
image_128,2,neutral
image_129,0,happy
image_130,1,neutral
image_131,2,neutral
image_132,2,neutral
image_133,2,neutral
image_134,2,neutral
image_135,2,neutral
image_136,0,neutral
image_137,1,neutral
image_138,2,neutral
image_139,1,angry
image_140,0,happy
image_141,0,happy
image_142,0,happy
image_143,2,neutral
image_144,0,happy
image_145,0,neutral
image_146,1,angry
image_147,0,happy
image_148,2,neutral
image_149,1,angry
image_150,1,neutral
image_151,2,angry
image_152,0,happy
image_153,2,neutral
image_154,1,angry
image_155,1,angry
image_156,0,happy
image_157,0,neutral
image_158,1,neutral
image_159,2,neutral
image_160,2,angry
image_161,2,neutral
image_162,2,neutral
image_163,1,angry
image_164,2,neutral
image_165,2,neutral
image_166,2,neutral
image_167,0,neutral
image_168,0,happy
image_169,0,happy
image_170,0,happy
image_171,1,angry
image_172,0,angry
image_173,1,happy
image_174,0,happy
image_175,2,neutral
image_176,2,neutral
image_177,2,neutral
image_178,0,happy
image_179,1,angry
image_180,2,neutral
image_181,0,happy
image_182,0,neutral
image_183,0,happy
image_184,1,angry
image_185,2,neutral
image_186,0,happy
image_187,0,happy
image_188,0,happy
image_189,0,happy
image_190,2,neutral
image_191,2,happy
image_192,0,happy
image_193,0,happy
image_194,0,happy
image_195,2,neutral
image_196,2,angry
image_197,1,neutral
image_198,0,happy
image_199,1,happy
image_200,2,neutral
image_201,1,neutral
image_202,2,neutral
image_203,0,happy
image_204,0,happy
image_205,0,happy
image_206,2,happy
image_207,0,happy
image_208,2,neutral
image_209,1,angry
image_210,0,happy
image_211,0,neutral
image_212,2,happy
image_213,2,neutral
image_214,0,angry
image_215,0,happy
image_216,1,angry
image_217,1,angry
image_218,0,happy
image_219,2,happy
image_220,0,neutral
image_221,1,happy
image_222,3,engaged
image_223,1,angry
image_224,1,angry
image_225,2,neutral
image_226,0,happy
image_227,0,happy
image_228,2,neutral
image_229,1,happy
image_230,1,angry
image_231,0,neutral
image_232,0,happy
image_233,0,happy
image_234,2,neutral
image_235,2,neutral
image_236,0,happy
image_237,3,engaged
image_238,2,happy
image_239,0,happy
image_240,1,angry
image_241,2,happy
image_242,0,happy
image_243,3,engaged
image_244,0,happy
image_245,1,angry
image_246,1,angry
image_247,0,happy
image_248,1,angry
image_249,1,neutral
image_250,2,neutral
image_251,0,happy
image_252,1,angry
image_253,0,happy
image_254,2,neutral
image_255,1,angry
image_256,1,angry
image_257,0,happy
image_258,2,neutral
image_259,0,angry
image_260,3,engaged
image_261,0,happy
image_262,2,neutral
image_263,0,angry
image_264,0,neutral
image_265,1,neutral
image_266,2,angry
image_267,0,neutral
image_268,0,happy
image_269,0,happy
image_270,0,happy
image_271,0,happy
image_272,1,happy
image_273,0,happy
image_274,2,angry
image_275,0,happy
image_276,1,neutral
image_277,2,neutral
image_278,2,happy
image_279,0,happy
image_280,1,angry
image_281,0,neutral
image_282,0,happy
image_283,1,happy
image_284,0,happy
image_285,1,neutral
image_286,0,happy
image_287,1,angry
image_288,0,happy
image_289,2,neutral
image_290,1,angry
image_291,2,happy
image_292,0,neutral
image_293,0,happy
image_294,1,neutral
image_295,2,happy
image_296,1,neutral
image_297,0,happy
image_298,1,happy
image_299,0,neutral
image_300,0,happy
image_301,0,happy
image_302,2,neutral
image_303,0,happy
image_304,1,angry
image_305,0,angry
image_306,2,neutral
image_307,2,neutral
image_308,1,angry
image_309,2,neutral
image_310,0,happy
image_311,0,happy
image_312,2,neutral
image_313,0,neutral
image_314,0,happy
image_315,1,neutral
image_316,0,happy
image_317,0,happy
image_318,2,neutral
image_319,0,happy
image_320,2,neutral
image_321,2,happy
image_322,2,neutral
image_323,0,happy
image_324,1,angry
image_325,0,happy
image_326,1,neutral
image_327,0,happy
image_328,0,happy
image_329,0,neutral
image_330,0,happy
image_331,1,neutral
image_332,0,happy
image_333,0,angry
image_334,1,angry
image_335,1,angry
image_336,0,happy
image_337,1,angry
image_338,2,neutral
image_339,1,angry
image_340,0,happy
image_341,0,happy
image_342,1,neutral
image_343,0,happy
image_344,2,neutral
image_345,2,neutral
image_346,0,happy
image_347,0,happy
image_348,0,happy
image_349,0,angry
image_350,0,happy
image_351,0,happy
image_352,2,happy
image_353,2,neutral
image_354,1,angry
image_355,3,engaged
image_356,0,happy
image_357,0,angry
image_358,1,angry
image_359,2,neutral
image_360,0,happy
image_361,0,happy
image_362,2,angry
image_363,2,neutral
image_364,2,neutral
image_365,1,angry
image_366,1,angry
image_367,0,happy
image_368,0,happy
image_369,2,neutral
image_370,1,angry
image_371,2,happy
image_372,1,angry
image_373,1,angry
image_374,0,happy
image_375,0,happy
image_376,1,neutral
image_377,1,angry
image_378,2,neutral
image_379,1,angry
image_380,2,neutral
image_381,2,neutral
image_382,2,neutral
image_383,2,neutral
image_384,0,happy
image_385,2,neutral
image_386,1,neutral
image_387,2,neutral
image_388,0,neutral
image_389,1,angry
image_390,0,happy
image_391,0,neutral
image_392,2,neutral
image_393,0,happy
image_394,0,happy
image_395,0,neutral
image_396,0,happy
image_397,0,happy
image_398,0,happy
image_399,3,engaged
image_400,0,happy
image_401,0,happy
image_402,0,happy
image_403,0,happy
image_404,0,angry
image_405,0,happy
image_406,2,angry
image_407,0,happy
image_408,1,angry
image_409,2,happy
image_410,0,happy
image_411,2,angry
image_412,2,angry
image_413,1,angry
image_414,1,neutral
image_415,2,angry
image_416,0,happy
image_417,2,neutral
image_418,2,angry
image_419,2,neutral
image_420,3,engaged
image_421,0,happy
image_422,0,happy
image_423,2,neutral
image_424,1,angry
image_425,0,happy
image_426,2,neutral
image_427,0,happy
image_428,0,happy
image_429,1,angry
image_430,0,happy
image_431,2,happy
image_432,2,neutral
image_433,0,happy
image_434,2,neutral
image_435,0,happy
image_436,2,neutral
image_437,2,neutral
image_438,1,angry
image_439,2,angry
image_440,0,happy
image_441,2,neutral
image_442,0,happy
image_443,0,happy
image_444,2,neutral
image_445,1,happy
image_446,1,neutral
image_447,2,neutral
image_448,0,happy
image_449,1,neutral
image_450,0,happy
image_451,0,happy
image_452,0,happy
image_453,2,neutral
image_454,1,angry
image_455,0,happy
image_456,2,neutral
image_457,0,happy
image_458,0,happy
image_459,2,neutral
image_460,2,neutral
image_461,2,happy
image_462,1,neutral
image_463,2,happy
image_464,1,angry
image_465,1,neutral
image_466,2,angry
image_467,1,angry
