Path,Label
data\cleanedData\happy\Training_72816635.jpg,happy
data\cleanedData\happy\Training_50478248.jpg,happy
data\cleanedData\happy\Training_16449507.jpg,happy
data\cleanedData\happy\Training_11563477.jpg,happy
data\cleanedData\happy\PublicTest_37503906.jpg,happy
data\cleanedData\happy\Training_56095982.jpg,happy
data\cleanedData\happy\PrivateTest_27554547.jpg,happy
data\cleanedData\happy\PrivateTest_3447769.jpg,happy
data\cleanedData\happy\Training_44673152.jpg,happy
data\cleanedData\happy\Training_7098848.jpg,happy
data\cleanedData\happy\Training_44314963.jpg,happy
data\cleanedData\happy\Training_38548218.jpg,happy
data\cleanedData\happy\Training_42154199.jpg,happy
data\cleanedData\happy\Training_5597433.jpg,happy
data\cleanedData\happy\Training_88201628.jpg,happy
data\cleanedData\happy\Training_45308640.jpg,happy
data\cleanedData\happy\Training_39805897.jpg,happy
data\cleanedData\happy\Training_9607164.jpg,happy
data\cleanedData\happy\PrivateTest_28785248.jpg,happy
data\cleanedData\happy\Training_35762019.jpg,happy
data\cleanedData\happy\Training_63501791.jpg,happy
data\cleanedData\happy\PrivateTest_33336951.jpg,happy
data\cleanedData\happy\PublicTest_50392408.jpg,happy
data\cleanedData\happy\Training_72781381.jpg,happy
data\cleanedData\happy\Training_16974929.jpg,happy
data\cleanedData\happy\Training_97745591.jpg,happy
data\cleanedData\happy\PrivateTest_61352712.jpg,happy
data\cleanedData\happy\Training_39457045.jpg,happy
data\cleanedData\happy\Training_65694565.jpg,happy
data\cleanedData\happy\Training_56089032.jpg,happy
data\cleanedData\happy\Training_12072300.jpg,happy
data\cleanedData\happy\Training_55634232.jpg,happy
data\cleanedData\happy\Training_79484871.jpg,happy
data\cleanedData\happy\Training_34930888.jpg,happy
data\cleanedData\happy\Training_17881962.jpg,happy
data\cleanedData\happy\Training_75330103.jpg,happy
data\cleanedData\happy\Training_89635895.jpg,happy
data\cleanedData\happy\Training_16153564.jpg,happy
data\cleanedData\happy\Training_24306769.jpg,happy
data\cleanedData\happy\Training_49711278.jpg,happy
data\cleanedData\happy\Training_14014869.jpg,happy
data\cleanedData\happy\Training_21655309.jpg,happy
data\cleanedData\happy\PublicTest_83758530.jpg,happy
data\cleanedData\happy\Training_88187627.jpg,happy
data\cleanedData\happy\Training_88024771.jpg,happy
data\cleanedData\happy\Training_9569358.jpg,happy
data\cleanedData\happy\Training_40223311.jpg,happy
data\cleanedData\happy\Training_76806381.jpg,happy
data\cleanedData\happy\Training_36111460.jpg,happy
data\cleanedData\happy\PrivateTest_41502047.jpg,happy
data\cleanedData\happy\Training_34591674.jpg,happy
data\cleanedData\happy\Training_48099931.jpg,happy
data\cleanedData\happy\PublicTest_84477627.jpg,happy
data\cleanedData\happy\Training_18957136.jpg,happy
data\cleanedData\happy\PrivateTest_82741933.jpg,happy
data\cleanedData\happy\PrivateTest_81247485.jpg,happy
data\cleanedData\happy\Training_30903559.jpg,happy
data\cleanedData\happy\Training_24865779.jpg,happy
data\cleanedData\happy\Training_3549215.jpg,happy
data\cleanedData\happy\Training_79646116.jpg,happy
data\cleanedData\happy\PrivateTest_78076860.jpg,happy
data\cleanedData\happy\PublicTest_80253726.jpg,happy
data\cleanedData\happy\Training_67819810.jpg,happy
data\cleanedData\happy\PrivateTest_27430217.jpg,happy
data\cleanedData\happy\Training_64212299.jpg,happy
data\cleanedData\happy\Training_84901872.jpg,happy
data\cleanedData\happy\Training_20991225.jpg,happy
data\cleanedData\happy\Training_26069358.jpg,happy
data\cleanedData\happy\Training_93020334.jpg,happy
data\cleanedData\happy\Training_49832352.jpg,happy
data\cleanedData\happy\Training_80882617.jpg,happy
data\cleanedData\happy\Training_74497274.jpg,happy
data\cleanedData\happy\Training_94637436.jpg,happy
data\cleanedData\happy\Training_45758012.jpg,happy
data\cleanedData\happy\Training_9156393.jpg,happy
data\cleanedData\happy\Training_83103387.jpg,happy
data\cleanedData\happy\Training_54682577.jpg,happy
data\cleanedData\happy\Training_64018861.jpg,happy
data\cleanedData\happy\Training_16600327.jpg,happy
data\cleanedData\happy\Training_79979364.jpg,happy
data\cleanedData\happy\Training_60279690.jpg,happy
data\cleanedData\happy\Training_68417655.jpg,happy
data\cleanedData\happy\Training_36279535.jpg,happy
data\cleanedData\happy\Training_15209179.jpg,happy
data\cleanedData\happy\PublicTest_24489785.jpg,happy
data\cleanedData\happy\Training_9171710.jpg,happy
data\cleanedData\happy\Training_4443327.jpg,happy
